caffeine_per_day,fast_food_per_week,sleep_hours,physical_activity_days,screen_hours,sleep_quality,eat_after_10pm,caffeine_after_8pm,low_energy_frequency
1.5,5.0,6.209302325581396,0.0,7.173913043478261,4,2,0,3.0
1.5,1.5,6.209302325581396,1.5,9.0,3,1,0,3.0
1.5,1.5,6.209302325581396,0.0,2.0,1,0,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,2,0,3.0
1.5507614213197969,1.5,6.209302325581396,3.5,9.0,1,2,1,3.0
1.5,3.5,6.209302325581396,1.5,9.0,4,1,0,3.0
1.5,1.5,6.209302325581396,3.5,7.173913043478261,4,1,1,3.0
1.5,3.5,6.209302325581396,1.5,9.0,2,1,1,3.0
1.5,1.5,6.209302325581396,0.0,9.0,2,0,0,3.0
1.5,3.5,9.0,1.5,7.173913043478261,2,2,1,3.0
1.5,1.5,6.209302325581396,3.5,7.173913043478261,3,0,1,3.0
1.5507614213197969,1.5,6.209302325581396,5.0,7.173913043478261,2,2,1,3.0
1.5,1.5,6.209302325581396,3.5,7.173913043478261,3,0,0,3.0
1.5,1.5,6.209302325581396,1.5,2.0,3,0,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,3,0,0,3.0
1.5,0.0,6.209302325581396,0.0,7.173913043478261,2,0,1,3.0
1.5,5.0,6.209302325581396,1.5,7.173913043478261,2,2,0,3.0
1.5507614213197969,1.5,6.209302325581396,1.5,9.0,2,2,1,3.0
1.5,0.0,6.209302325581396,1.5,2.0,3,0,0,3.0
1.5507614213197969,0.0,6.209302325581396,1.5,7.173913043478261,4,0,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,0,0,3.0
1.5507614213197969,0.0,6.209302325581396,1.5,2.0,3,1,1,3.0
1.5,0.0,6.209302325581396,3.5,7.173913043478261,3,1,0,3.0
1.5,3.5,6.209302325581396,0.0,9.0,3,0,0,3.0
1.5507614213197969,1.5,6.209302325581396,0.0,9.0,1,0,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,4,0,0,3.0
1.5,1.5,9.0,1.5,9.0,2,1,1,3.0
1.5,1.5,6.209302325581396,3.5,7.173913043478261,4,0,0,3.0
1.5,0.0,6.209302325581396,0.0,7.173913043478261,3,1,0,3.0
1.5,5.0,6.209302325581396,0.0,9.0,2,0,0,3.0
1.5,1.5,6.209302325581396,3.5,9.0,2,0,1,3.0
1.5,1.5,6.209302325581396,0.0,9.0,2,1,1,3.0
1.5,1.5,9.0,0.0,9.0,4,1,0,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,3,1,0,3.0
1.5,3.5,6.209302325581396,3.5,9.0,2,1,0,3.0
1.5,5.0,6.209302325581396,0.0,7.173913043478261,1,2,1,3.0
1.5,1.5,6.209302325581396,3.5,9.0,4,0,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,3,0,0,3.0
1.5,1.5,4.0,0.0,2.0,3,1,1,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,3,2,1,3.0
1.5,1.5,6.209302325581396,0.0,2.0,3,1,0,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,2,1,1,3.0
1.5,3.5,6.209302325581396,1.5,9.0,4,0,0,3.0
5.0,1.5,6.209302325581396,3.5,7.173913043478261,3,1,1,3.0
1.5507614213197969,1.5,6.209302325581396,0.0,2.0,3,0,1,3.0
1.5,1.5,6.209302325581396,1.5,9.0,2,1,0,3.0
1.5,5.0,6.209302325581396,1.5,9.0,3,2,1,3.0
1.5,1.5,6.209302325581396,1.5,9.0,2,0,1,3.0
0.0,1.5,6.209302325581396,0.0,7.173913043478261,2,0,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5507614213197969,1.5,6.209302325581396,1.5,7.173913043478261,3,0,0,3.0
1.5507614213197969,3.5,6.209302325581396,0.0,9.0,2,1,0,3.0
1.5507614213197969,0.0,4.0,0.0,9.0,1,1,0,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,2,1,0,3.0
1.5507614213197969,3.5,6.209302325581396,0.0,7.173913043478261,2,1,1,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,3,0,0,3.0
1.5507614213197969,1.5,6.209302325581396,3.5,9.0,3,0,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5,3.5,6.209302325581396,3.5,7.173913043478261,2,1,1,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5,1.5,6.209302325581396,1.5,9.0,3,1,0,3.0
1.5,1.5,9.0,5.0,9.0,3,1,0,3.0
1.5,1.5,6.209302325581396,1.5,9.0,2,1,0,3.0
1.5,3.5,6.209302325581396,3.5,7.173913043478261,2,1,0,3.0
1.5,3.5,6.209302325581396,5.0,9.0,3,0,0,3.0
0.0,3.5,6.209302325581396,3.5,7.173913043478261,2,1,1,3.0
1.5,1.5,6.209302325581396,5.0,7.173913043478261,4,1,1,3.0
0.0,1.5,6.209302325581396,0.0,9.0,3,2,0,3.0
1.5507614213197969,0.0,6.209302325581396,0.0,7.173913043478261,2,1,1,3.0
0.0,1.5,6.209302325581396,1.5,9.0,3,0,0,3.0
5.0,1.5,6.209302325581396,1.5,7.173913043478261,4,1,1,3.0
1.5,5.0,6.209302325581396,0.0,9.0,3,2,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5,1.5,4.0,3.5,7.173913043478261,2,2,0,3.0
1.5507614213197969,1.5,6.209302325581396,1.5,9.0,1,1,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,2,0,3.0
1.5,1.5,6.209302325581396,1.5,2.0,3,0,0,3.0
1.5,0.0,6.209302325581396,1.5,7.173913043478261,2,0,0,3.0
1.5507614213197969,3.5,9.0,1.5,2.0,3,2,1,3.0
5.0,0.0,6.209302325581396,1.5,9.0,2,1,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,2,2,1,3.0
1.5507614213197969,0.0,4.0,3.5,7.173913043478261,2,1,1,3.0
1.5,3.5,6.209302325581396,3.5,7.173913043478261,2,2,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,3,1,1,3.0
0.0,1.5,9.0,3.5,7.173913043478261,3,1,0,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,1,1,0,3.0
1.5,1.5,6.209302325581396,3.5,9.0,4,1,0,3.0
1.5,0.0,4.0,0.0,7.173913043478261,2,1,0,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,3,1,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,3,1,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,3,1,1,3.0
1.5,1.5,9.0,1.5,9.0,4,1,0,3.0
1.5,5.0,6.209302325581396,3.5,7.173913043478261,3,1,1,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,2,1,1,3.0
1.5,1.5,6.209302325581396,0.0,9.0,1,2,1,3.0
1.5,0.0,6.209302325581396,3.5,2.0,3,0,0,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,2,2,1,3.0
1.5507614213197969,1.5,4.0,0.0,2.0,2,0,0,3.0
1.5,1.5,6.209302325581396,1.5,2.0,2,1,1,3.0
1.5,1.5,6.209302325581396,5.0,7.173913043478261,3,2,1,3.0
1.5507614213197969,0.0,6.209302325581396,1.5,7.173913043478261,2,0,0,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,2,2,0,3.0
1.5,3.5,6.209302325581396,3.5,9.0,2,0,0,3.0
1.5,5.0,6.209302325581396,3.5,7.173913043478261,2,1,0,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,1,2,1,3.0
1.5,5.0,6.209302325581396,1.5,7.173913043478261,2,2,1,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,3,1,0,3.0
1.5,5.0,6.209302325581396,1.5,7.173913043478261,3,0,0,3.0
1.5,1.5,6.209302325581396,3.5,2.0,3,1,0,3.0
5.0,5.0,6.209302325581396,3.5,7.173913043478261,2,1,1,3.0
1.5,1.5,6.209302325581396,1.5,9.0,2,2,1,3.0
5.0,1.5,6.209302325581396,0.0,9.0,2,1,1,3.0
5.0,5.0,9.0,0.0,7.173913043478261,1,2,1,3.0
1.5,0.0,6.209302325581396,0.0,7.173913043478261,3,0,0,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,2,2,0,3.0
1.5,1.5,6.209302325581396,1.5,9.0,4,2,1,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,2,1,0,3.0
1.5,1.5,6.209302325581396,5.0,7.173913043478261,4,0,1,3.0
1.5,3.5,6.209302325581396,3.5,9.0,4,1,0,3.0
5.0,0.0,4.0,0.0,2.0,1,1,1,3.0
1.5,3.5,6.209302325581396,3.5,9.0,2,1,0,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,3,2,1,3.0
1.5507614213197969,1.5,6.209302325581396,0.0,7.173913043478261,2,1,0,3.0
1.5,3.5,6.209302325581396,0.0,9.0,2,1,0,3.0
1.5,1.5,4.0,1.5,7.173913043478261,2,1,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,0,3.0
1.5507614213197969,0.0,6.209302325581396,1.5,2.0,3,1,1,3.0
1.5,3.5,6.209302325581396,1.5,7.173913043478261,3,2,1,3.0
1.5,1.5,4.0,0.0,7.173913043478261,3,1,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5,1.5,6.209302325581396,5.0,9.0,2,1,1,3.0
1.5,0.0,6.209302325581396,1.5,7.173913043478261,2,0,1,3.0
1.5,0.0,6.209302325581396,1.5,7.173913043478261,2,1,0,3.0
1.5,0.0,4.0,0.0,2.0,3,1,1,3.0
1.5507614213197969,0.0,4.0,3.5,7.173913043478261,1,1,1,3.0
1.5,3.5,6.209302325581396,3.5,7.173913043478261,3,1,0,3.0
1.5,3.5,9.0,3.5,7.173913043478261,2,2,0,3.0
1.5,1.5,4.0,1.5,7.173913043478261,2,1,1,3.0
1.5,1.5,4.0,0.0,9.0,2,2,1,3.0
1.5,3.5,4.0,0.0,7.173913043478261,2,1,0,3.0
0.0,1.5,6.209302325581396,1.5,2.0,4,0,0,3.0
5.0,0.0,6.209302325581396,0.0,9.0,3,1,1,3.0
1.5,3.5,6.209302325581396,1.5,9.0,3,0,1,3.0
1.5,1.5,4.0,3.5,9.0,2,1,1,3.0
5.0,1.5,9.0,1.5,7.173913043478261,3,1,0,3.0
1.5507614213197969,5.0,6.209302325581396,0.0,2.0,1,0,0,3.0
0.0,1.5,6.209302325581396,0.0,7.173913043478261,2,0,0,3.0
1.5507614213197969,0.0,6.209302325581396,1.5,2.0,3,1,0,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,2,2,0,3.0
0.0,1.5,6.209302325581396,0.0,7.173913043478261,2,1,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,3,1,0,3.0
1.5,1.5,9.0,1.5,2.0,2,1,0,3.0
1.5507614213197969,1.5,6.209302325581396,3.5,7.173913043478261,3,2,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,3,2,0,3.0
1.5,3.5,6.209302325581396,0.0,7.173913043478261,1,1,1,3.0
1.5507614213197969,3.5,4.0,1.5,2.0,1,2,1,3.0
1.5,3.5,6.209302325581396,0.0,7.173913043478261,3,1,1,3.0
1.5,1.5,6.209302325581396,0.0,9.0,1,1,0,3.0
0.0,1.5,6.209302325581396,0.0,7.173913043478261,2,1,1,3.0
1.5507614213197969,1.5,6.209302325581396,0.0,2.0,2,1,0,3.0
1.5,0.0,6.209302325581396,3.5,9.0,1,0,0,3.0
1.5,5.0,4.0,0.0,9.0,1,1,1,3.0
1.5,3.5,6.209302325581396,0.0,9.0,2,0,1,3.0
1.5,3.5,6.209302325581396,0.0,7.173913043478261,1,1,0,3.0
1.5,5.0,6.209302325581396,0.0,9.0,1,2,0,3.0
1.5,3.5,9.0,5.0,2.0,3,1,1,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,0,3.0
1.5,5.0,6.209302325581396,1.5,9.0,2,2,1,3.0
1.5507614213197969,1.5,6.209302325581396,5.0,2.0,3,2,0,3.0
1.5507614213197969,1.5,6.209302325581396,3.5,7.173913043478261,2,2,1,3.0
1.5,1.5,6.209302325581396,1.5,2.0,2,1,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5,1.5,6.209302325581396,0.0,7.173913043478261,2,2,1,3.0
1.5,1.5,6.209302325581396,5.0,7.173913043478261,2,1,1,3.0
1.5507614213197969,3.5,6.209302325581396,3.5,7.173913043478261,3,0,0,3.0
1.5,1.5,4.0,0.0,9.0,2,0,1,3.0
5.0,1.5,6.209302325581396,5.0,9.0,4,0,1,3.0
1.5,0.0,6.209302325581396,0.0,9.0,2,1,0,3.0
1.5507614213197969,1.5,6.209302325581396,0.0,9.0,2,2,1,3.0
1.5,1.5,6.209302325581396,0.0,2.0,2,1,0,3.0
1.5507614213197969,1.5,6.209302325581396,0.0,9.0,3,2,0,3.0
0.0,1.5,6.209302325581396,3.5,9.0,3,0,0,3.0
1.5,1.5,6.209302325581396,5.0,7.173913043478261,1,2,0,3.0
0.0,1.5,4.0,5.0,2.0,1,1,0,3.0
1.5,5.0,9.0,0.0,7.173913043478261,3,2,1,3.0
0.0,0.0,6.209302325581396,0.0,7.173913043478261,4,1,0,3.0
1.5,1.5,4.0,1.5,9.0,1,2,1,3.0
1.5507614213197969,5.0,6.209302325581396,3.5,9.0,2,2,1,3.0
1.5,1.5,6.209302325581396,0.0,2.0,2,1,0,3.0
1.5507614213197969,1.5,6.209302325581396,0.0,7.173913043478261,1,1,0,3.0
5.0,5.0,4.0,3.5,7.173913043478261,2,0,0,3.0
0.0,1.5,6.209302325581396,1.5,2.0,3,1,1,3.0
1.5,1.5,4.0,3.5,7.173913043478261,2,1,0,3.0
1.5,5.0,6.209302325581396,0.0,9.0,1,1,0,3.0
1.5,3.5,6.209302325581396,3.5,9.0,1,2,1,3.0
1.5,1.5,6.209302325581396,3.5,9.0,4,1,0,3.0
1.5507614213197969,3.5,9.0,0.0,9.0,2,2,1,3.0
1.5,1.5,6.209302325581396,1.5,9.0,2,1,0,3.0
0.0,1.5,9.0,1.5,9.0,4,1,1,3.0
1.5,0.0,6.209302325581396,1.5,7.173913043478261,2,2,0,3.0
1.5,1.5,6.209302325581396,1.5,7.173913043478261,2,1,1,3.0
1.5,3.5,6.209302325581396,0.0,7.173913043478261,4,2,0,3.0
1.5,1.5,6.209302325581396,5.0,9.0,2,2,1,3.0
1.5,0.0,6.209302325581396,1.5,2.0,2,1,1,3.0
1.5,3.5,4.0,3.5,9.0,1,1,0,3.0
